product_id,product_name,category,brand,manufacturing_country,market_region,transport_mode,distance_km,unit_weight_kg,material_1,material_share_1,material_2,material_share_2,manufacturing_energy_kwh,packaging_type,recycled_content_pct,certification,price_usd,co2e_total_kg,co2e_material_kg,co2e_manufacturing_kg,co2e_transport_kg,co2e_packaging_kg,climate_score,destination_country,distance_km_raw
P0117,StreetPulse Sneakers,sneakers,StreetPulse,mexico,usa_east,ship,1840.0,0.968,leather,0.626,rubber,0.374,2.14,recycled_cardboard_box,45.5,fsc,57.35,13.65,10.284,2.342,0.046,0.16,E,usa,3200
P0118,RunNova Sneakers,sneakers,RunNova,china,india,truck,2842.0,0.889,leather,0.777,polyester,0.223,2.33,none,0.0,bluesign,64.72,16.256,11.452,3.645,0.405,0.0,E,india,3800
P0119,StreetPulse Sneakers,sneakers,StreetPulse,india,india,truck,0.0,0.721,recycled_polyester,0.778,polyester,0.222,2.45,plastic_wrap,32.1,none,130.93,6.774,2.563,3.715,0.069,0.18,B,india,800
P0120,BlueRiver Jeans,jeans,BlueRiver,mexico,europe_west,ship,9448.0,0.653,cotton,0.724,organic_cotton,0.276,2.2,plastic_wrap,10.1,energy_star,80.16,3.98,1.281,2.368,0.088,0.18,B,germany,9000
P0121,HydroPop Water Bottle,water_bottle,HydroPop,mexico,usa_west,rail,1840.0,0.077,recycled_plastic_pet,1.0,,0.0,0.41,plastic_wrap,24.3,none,5.6,1.723,0.131,1.58,0.005,0.18,B,usa,2200
P0122,SparkOne Smartphone,smartphone,SparkOne,vietnam,india,ship,3266.0,0.153,glass,0.773,aluminum,0.227,3.48,recycled_cardboard_box,29.2,fair_trade,1035.63,4.121,0.541,3.814,0.007,0.16,A,india,3200
P0123,HydroPop Water Bottle,water_bottle,HydroPop,india,europe_west,ship,6540.0,0.07,recycled_plastic_pet,1.0,,0.0,0.3,cardboard_box,17.9,none,4.28,2.715,0.119,2.21,0.007,0.25,D,germany,7000
P0124,EcoSole Sneakers,sneakers,EcoSole,vietnam,usa_west,air,13407.0,0.654,leather,0.748,polyester,0.252,2.32,none,13.2,none,105.41,20.074,8.244,3.176,9.418,0.0,F,usa,12000
P0125,UrbanBasic T Shirt,t_shirt,UrbanBasic,bangladesh,usa_west,ship,12894.0,0.246,cotton,0.734,recycled_polyester,0.266,0.97,plastic_wrap,6.1,none,20.52,3.214,0.575,2.401,0.05,0.18,C,usa,13500
P0126,CottonCloud T Shirt,t_shirt,CottonCloud,india,usa_west,ship,13026.0,0.298,recycled_polyester,0.728,organic_cotton,0.272,0.99,plastic_wrap,46.9,none,42.39,3.858,0.781,2.693,0.058,0.18,E,usa,13000
P0127,PureSip Water Bottle,water_bottle,PureSip,mexico,usa_east,truck,1840.0,0.039,plastic_pet,1.0,,0.0,0.36,plastic_wrap,0.0,none,2.92,1.65,0.105,1.558,0.015,0.18,B,usa,3200
P0128,LeafCell Smartphone,smartphone,LeafCell,south_korea,india,ship,4915.0,0.157,aluminum,0.77,recycled_plastic_pet,0.23,3.67,recycled_cardboard_box,23.7,none,298.29,4.093,1.452,2.988,0.011,0.16,A,india,4700
P0129,UrbanBasic T Shirt,t_shirt,UrbanBasic,china,southeast_asia,ship,3842.0,0.268,organic_cotton,0.838,recycled_polyester,0.162,1.12,none,32.4,energy_star,14.24,3.507,0.49,2.894,0.01,0.0,D,singapore,2500
P0130,ClearSpring Water Bottle,water_bottle,ClearSpring,mexico,usa_west,truck,1840.0,0.032,recycled_plastic_pet,1.0,,0.0,0.43,plastic_wrap,28.4,bluesign,2.17,1.77,0.054,1.589,0.008,0.18,C,usa,2200
P0131,CottonCloud T Shirt,t_shirt,CottonCloud,bangladesh,usa_east,air,12894.0,0.28,polyester,0.681,organic_cotton,0.319,0.82,cardboard_box,9.9,none,44.61,8.451,1.192,2.308,4.872,0.25,F,usa,14500
P0132,GreenLoop T Shirt,t_shirt,GreenLoop,bangladesh,europe_west,ship,7289.0,0.177,recycled_polyester,0.739,polyester,0.261,0.7,none,19.5,none,20.37,3.102,0.646,2.234,0.02,0.0,C,germany,7600
P0133,EcoThread T Shirt,t_shirt,EcoThread,mexico,usa_west,truck,1840.0,0.201,organic_cotton,0.666,polyester,0.334,1.07,cardboard_box,25.9,fair_trade,15.57,2.716,0.583,1.871,0.053,0.25,B,usa,2200
P0134,PulseTech Laptop,laptop,PulseTech,china,southeast_asia,air,3842.0,1.611,steel,0.624,recycled_plastic_pet,0.376,9.9,cardboard_box,0.2,none,1794.04,16.72,3.342,8.338,4.833,0.25,B,singapore,2500
P0135,UrbanBasic T Shirt,t_shirt,UrbanBasic,bangladesh,europe_west,ship,7289.0,0.29,recycled_polyester,0.667,polyester,0.333,1.17,recycled_cardboard_box,16.0,gots,39.46,3.9,1.111,2.525,0.033,0.16,E,germany,7600
P0136,NovaByte Laptop,laptop,NovaByte,usa,usa_west,truck,0.0,1.824,aluminum,0.838,steel,0.162,13.54,cardboard_box,41.0,none,1835.25,22.652,18.258,6.481,0.263,0.25,C,usa,1200
P0137,SparkOne Smartphone,smartphone,SparkOne,vietnam,europe_west,ship,9329.0,0.224,recycled_aluminum,0.812,lithium_ion_battery,0.188,5.67,cardboard_box,40.3,bluesign,500.51,7.421,1.415,5.018,0.032,0.25,D,germany,9500
P0138,BlueRiver Jeans,jeans,BlueRiver,vietnam,southeast_asia,truck,1502.0,0.608,organic_cotton,0.811,cotton,0.189,2.44,none,21.0,none,83.68,4.515,1.03,3.242,0.131,0.0,C,singapore,1800
P0139,RunNova Sneakers,sneakers,RunNova,vietnam,usa_east,ship,13407.0,0.656,leather,0.616,rubber,0.384,3.09,recycled_cardboard_box,7.4,none,132.7,10.44,6.893,3.6,0.133,0.16,D,usa,13500
P0140,CottonCloud T Shirt,t_shirt,CottonCloud,bangladesh,usa_east,ship,12894.0,0.205,cotton,0.624,recycled_polyester,0.376,0.82,recycled_cardboard_box,15.3,bluesign,13.77,3.221,0.5,2.308,0.045,0.16,C,usa,14500
P0141,RunNova Sneakers,sneakers,RunNova,india,europe_west,ship,6540.0,1.02,recycled_polyester,0.844,polyester,0.156,2.31,recycled_cardboard_box,13.8,bluesign,65.53,6.937,3.458,3.617,0.107,0.16,C,germany,7000
P0142,RunNova Sneakers,sneakers,RunNova,india,india,truck,0.0,0.617,recycled_polyester,0.644,leather,0.356,3.14,cardboard_box,41.9,energy_star,148.45,8.628,4.487,4.198,0.059,0.25,C,india,800
P0143,RunNova Sneakers,sneakers,RunNova,india,europe_west,ship,6540.0,0.644,polyester,0.661,recycled_polyester,0.339,2.33,recycled_cardboard_box,38.7,none,99.95,6.352,2.996,3.631,0.068,0.16,B,germany,7000
P0144,ZenPhone Smartphone,smartphone,ZenPhone,south_korea,usa_west,ship,10295.0,0.222,silicon_chip,0.745,plastic_pet,0.255,6.09,plastic_wrap,0.0,none,746.93,11.754,7.595,4.101,0.035,0.18,E,usa,10500
P0145,DenimForge Jeans,jeans,DenimForge,vietnam,southeast_asia,truck,1502.0,0.674,cotton,0.826,organic_cotton,0.174,2.59,plastic_wrap,31.2,none,106.26,4.785,1.357,3.324,0.146,0.18,D,singapore,1800
P0146,TerraBook Laptop,laptop,TerraBook,usa,usa_east,ship,0.0,1.345,recycled_aluminum,0.608,lithium_ion_battery,0.392,13.19,cardboard_box,28.9,fair_trade,1607.46,17.338,10.416,6.344,0.05,0.25,C,usa,2500
P0147,StoneWash Jeans,jeans,StoneWash,vietnam,india,ship,3266.0,0.647,organic_cotton,0.773,cotton,0.227,2.46,cardboard_box,19.5,none,90.79,4.458,1.109,3.253,0.031,0.25,C,india,3200
P0148,ClearSpring Water Bottle,water_bottle,ClearSpring,india,southeast_asia,air,3624.0,0.057,plastic_pet,1.0,,0.0,0.48,cardboard_box,16.3,fair_trade,4.57,2.992,0.154,2.336,0.205,0.25,F,singapore,3000
P0149,CottonCloud T Shirt,t_shirt,CottonCloud,mexico,usa_east,ship,1840.0,0.263,organic_cotton,0.809,recycled_polyester,0.191,0.79,cardboard_box,45.8,bluesign,15.06,2.568,0.491,1.748,0.013,0.25,B,usa,3200
P0150,UrbanBasic T Shirt,t_shirt,UrbanBasic,india,usa_east,ship,13026.0,0.293,organic_cotton,0.635,polyester,0.365,0.94,none,0.0,none,43.87,3.691,0.886,2.658,0.062,0.0,D,usa,14000
P0151,TerraBook Laptop,laptop,TerraBook,usa,europe_west,ship,7783.0,1.392,lithium_ion_battery,0.791,steel,0.209,12.12,recycled_cardboard_box,7.6,energy_star,817.31,20.565,13.882,5.927,0.136,0.16,C,germany,6500
P0152,HydroPop Water Bottle,water_bottle,HydroPop,usa,usa_west,truck,0.0,0.039,plastic_pet,1.0,,0.0,0.21,recycled_cardboard_box,62.3,energy_star,4.16,1.561,0.105,1.282,0.006,0.16,B,usa,1200
P0153,DenimForge Jeans,jeans,DenimForge,mexico,india,ship,14831.0,0.816,cotton,0.676,organic_cotton,0.324,2.58,cardboard_box,6.2,bluesign,117.54,4.326,1.581,2.535,0.184,0.25,C,india,15000
P0154,TerraMobile Smartphone,smartphone,TerraMobile,china,usa_west,ship,11280.0,0.147,silicon_chip,0.68,aluminum,0.32,3.06,cardboard_box,38.1,none,404.45,8.29,5.039,4.097,0.023,0.25,D,usa,10500
P0155,StreetPulse Sneakers,sneakers,StreetPulse,india,southeast_asia,truck,3624.0,0.768,rubber,0.741,recycled_polyester,0.259,2.62,none,51.7,none,96.37,6.726,2.475,3.834,0.276,0.0,B,singapore,3000
P0156,BlueRiver Jeans,jeans,BlueRiver,mexico,usa_west,truck,1840.0,0.742,organic_cotton,0.763,cotton,0.237,1.79,recycled_cardboard_box,24.9,fair_trade,108.66,3.498,1.275,2.188,0.196,0.16,A,usa,2200
P0157,SkyCompute Laptop,laptop,SkyCompute,taiwan,usa_east,ship,11847.0,1.757,silicon_chip,0.733,recycled_plastic_pet,0.267,10.35,cardboard_box,35.4,fair_trade,976.62,67.469,58.752,6.775,0.329,0.25,F,usa,12500
P0158,SparkOne Smartphone,smartphone,SparkOne,vietnam,usa_west,ship,13407.0,0.245,aluminum,0.705,glass,0.295,5.97,cardboard_box,47.5,energy_star,340.64,7.529,2.073,5.184,0.044,0.25,D,usa,12000
P0159,SparkOne Smartphone,smartphone,SparkOne,south_korea,europe_west,ship,8517.0,0.226,silicon_chip,0.687,aluminum,0.313,6.43,recycled_cardboard_box,0.0,fair_trade,863.44,12.214,7.8,4.258,0.03,0.16,F,germany,8800
P0160,PulseTech Laptop,laptop,PulseTech,taiwan,usa_west,ship,11847.0,1.348,aluminum,0.775,lithium_ion_battery,0.225,11.44,recycled_cardboard_box,71.6,fair_trade,1420.61,23.367,15.654,7.32,0.222,0.16,D,usa,11000
P0161,EcoSole Sneakers,sneakers,EcoSole,china,europe_west,ship,7223.0,0.887,leather,0.622,polyester,0.378,2.91,cardboard_box,38.0,fair_trade,121.26,14.98,10.12,4.004,0.106,0.25,E,germany,8000
P0162,BlueRiver Jeans,jeans,BlueRiver,vietnam,europe_west,ship,9329.0,0.816,organic_cotton,0.819,cotton,0.181,2.47,none,21.9,none,105.28,4.477,1.379,3.258,0.116,0.0,C,germany,9500
P0163,LeafCell Smartphone,smartphone,LeafCell,china,india,truck,2842.0,0.204,aluminum,0.807,plastic_pet,0.193,6.09,recycled_cardboard_box,29.6,fair_trade,355.15,8.385,2.0,5.976,0.093,0.16,D,india,3800
P0164,EarthFit Jeans,jeans,EarthFit,india,usa_east,ship,13026.0,0.893,cotton,0.883,organic_cotton,0.117,2.14,cardboard_box,27.3,energy_star,65.86,6.132,1.823,3.498,0.188,0.25,E,usa,14000
P0165,TerraMobile Smartphone,smartphone,TerraMobile,china,usa_west,ship,11280.0,0.249,silicon_chip,0.828,plastic_pet,0.172,6.4,recycled_cardboard_box,36.9,fair_trade,693.29,16.507,9.393,6.168,0.039,0.16,F,usa,10500
P0166,PulseTech Laptop,laptop,PulseTech,china,usa_east,ship,11280.0,1.621,aluminum,0.67,plastic_pet,0.33,10.09,recycled_cardboard_box,19.6,none,1293.6,24.356,13.934,8.456,0.292,0.16,D,usa,12000
P0167,ClearSpring Water Bottle,water_bottle,ClearSpring,china,india,air,2842.0,0.037,plastic_pet,1.0,,0.0,0.38,recycled_cardboard_box,50.0,fsc,1.85,2.817,0.1,2.436,0.169,0.16,E,india,3800
P0168,StepWise Sneakers,sneakers,StepWise,india,europe_west,ship,6540.0,0.964,leather,0.792,rubber,0.208,2.75,recycled_cardboard_box,30.0,none,118.61,16.221,12.114,3.925,0.101,0.16,E,germany,7000
P0169,TerraBook Laptop,laptop,TerraBook,china,southeast_asia,truck,3842.0,1.836,aluminum,0.879,silicon_chip,0.121,10.75,plastic_wrap,6.0,bluesign,1539.1,42.441,28.556,8.865,0.551,0.18,E,singapore,2500
P0170,TerraMobile Smartphone,smartphone,TerraMobile,vietnam,europe_west,ship,9329.0,0.218,recycled_aluminum,0.602,lithium_ion_battery,0.398,6.42,cardboard_box,26.8,fsc,815.41,7.634,1.697,5.431,0.031,0.25,D,germany,9500
P0171,SkyCompute Laptop,laptop,SkyCompute,taiwan,europe_west,ship,9296.0,1.737,lithium_ion_battery,0.702,silicon_chip,0.298,11.28,cardboard_box,23.4,none,1275.79,46.376,37.926,7.24,0.248,0.25,E,germany,9500
P0172,RunNova Sneakers,sneakers,RunNova,vietnam,southeast_asia,truck,1502.0,0.628,polyester,0.79,recycled_polyester,0.21,2.76,plastic_wrap,0.0,gots,58.61,7.27,3.124,3.418,0.136,0.18,C,singapore,1800
P0173,SkyCompute Laptop,laptop,SkyCompute,taiwan,southeast_asia,rail,3100.0,1.229,recycled_aluminum,0.806,silicon_chip,0.194,12.75,plastic_wrap,36.8,fair_trade,1396.8,22.659,15.682,7.975,0.07,0.18,C,singapore,1900
P0174,EcoThread T Shirt,t_shirt,EcoThread,mexico,southeast_asia,ship,16035.0,0.224,organic_cotton,0.895,cotton,0.105,0.96,cardboard_box,37.0,bluesign,36.96,2.472,0.37,1.822,0.049,0.25,A,singapore,14500
P0175,TerraMobile Smartphone,smartphone,TerraMobile,china,usa_west,ship,11280.0,0.242,glass,0.657,aluminum,0.343,5.19,cardboard_box,0.0,none,411.86,7.033,1.145,5.418,0.038,0.25,C,usa,10500
P0176,EcoThread T Shirt,t_shirt,EcoThread,vietnam,europe_west,ship,9329.0,0.173,recycled_polyester,0.627,cotton,0.373,0.79,plastic_wrap,25.5,fair_trade,34.13,2.989,0.461,2.334,0.025,0.18,C,germany,9500
P0177,NovaByte Laptop,laptop,NovaByte,usa,india,ship,13026.0,1.398,lithium_ion_battery,0.852,recycled_plastic_pet,0.148,10.14,cardboard_box,17.5,fsc,1449.89,22.164,14.645,5.155,0.273,0.25,C,india,13000
P0178,ZenPhone Smartphone,smartphone,ZenPhone,china,southeast_asia,ship,3842.0,0.167,aluminum,0.894,plastic_pet,0.106,4.84,plastic_wrap,31.0,gots,1178.92,7.34,1.765,5.201,0.006,0.18,D,singapore,2500
P0179,UrbanBasic T Shirt,t_shirt,UrbanBasic,turkey,europe_west,ship,2354.0,0.212,polyester,0.76,recycled_polyester,0.24,0.78,none,51.0,none,44.75,3.019,1.039,1.82,0.008,0.0,C,germany,2500
P0180,StepWise Sneakers,sneakers,StepWise,mexico,usa_west,rail,1840.0,0.665,leather,0.894,polyester,0.106,3.12,none,35.6,fair_trade,80.51,11.524,9.305,2.773,0.044,0.0,D,usa,2200
P0181,ZenPhone Smartphone,smartphone,ZenPhone,china,india,ship,2842.0,0.178,plastic_pet,0.69,aluminum,0.31,6.46,cardboard_box,21.9,none,510.81,7.428,0.966,6.205,0.01,0.25,D,india,3800
P0182,PulseTech Laptop,laptop,PulseTech,china,europe_west,ship,7223.0,1.897,silicon_chip,0.815,recycled_plastic_pet,0.185,9.74,recycled_cardboard_box,45.8,fsc,1043.15,78.682,70.169,8.239,0.228,0.16,F,germany,8000
P0183,TerraMobile Smartphone,smartphone,TerraMobile,taiwan,usa_east,air,11847.0,0.23,silicon_chip,0.601,lithium_ion_battery,0.399,6.05,recycled_cardboard_box,12.6,gots,616.91,16.043,7.322,4.625,3.45,0.16,F,usa,12500
P0184,SkyCompute Laptop,laptop,SkyCompute,usa,india,ship,13026.0,1.797,plastic_pet,0.777,recycled_aluminum,0.223,11.85,recycled_cardboard_box,28.6,fair_trade,1899.35,12.461,5.774,5.822,0.35,0.16,B,india,13000
P0185,ZenPhone Smartphone,smartphone,ZenPhone,vietnam,europe_west,ship,9329.0,0.212,recycled_plastic_pet,0.763,glass,0.237,4.16,cardboard_box,11.4,none,504.13,4.805,0.335,4.188,0.03,0.25,B,germany,9500
P0186,HydroPop Water Bottle,water_bottle,HydroPop,usa,usa_west,rail,0.0,0.057,recycled_plastic_pet,1.0,,0.0,0.44,cardboard_box,0.0,none,1.72,1.781,0.097,1.372,0.002,0.25,C,usa,1200
P0187,BlueRiver Jeans,jeans,BlueRiver,mexico,europe_west,ship,9448.0,0.706,organic_cotton,0.875,cotton,0.125,2.62,none,41.1,none,43.2,4.302,1.174,2.553,0.095,0.0,B,germany,9000
P0188,PulseTech Laptop,laptop,PulseTech,taiwan,usa_west,ship,11847.0,1.655,recycled_aluminum,0.616,recycled_plastic_pet,0.384,10.97,recycled_cardboard_box,22.5,none,1521.62,13.724,6.178,7.085,0.273,0.16,B,usa,11000
P0189,StoneWash Jeans,jeans,StoneWash,vietnam,india,ship,3266.0,0.706,cotton,0.725,organic_cotton,0.275,1.86,recycled_cardboard_box,29.3,none,61.28,4.328,1.386,2.923,0.034,0.16,C,india,3200
P0190,PulseTech Laptop,laptop,PulseTech,china,usa_east,ship,11280.0,1.288,silicon_chip,0.704,plastic_pet,0.296,12.24,cardboard_box,16.9,none,719.69,55.885,41.833,9.789,0.232,0.25,F,usa,12000
P0191,StoneWash Jeans,jeans,StoneWash,mexico,southeast_asia,ship,16035.0,0.753,organic_cotton,0.874,cotton,0.126,2.0,recycled_cardboard_box,37.7,none,64.16,4.2,1.252,2.28,0.164,0.16,B,singapore,14500
P0192,SparkOne Smartphone,smartphone,SparkOne,vietnam,india,truck,3266.0,0.168,aluminum,0.882,plastic_pet,0.118,5.57,cardboard_box,13.5,none,375.73,7.117,1.758,4.964,0.065,0.25,C,india,3200
P0193,StreetPulse Sneakers,sneakers,StreetPulse,vietnam,southeast_asia,rail,1502.0,0.867,polyester,0.729,recycled_polyester,0.271,3.3,cardboard_box,30.9,none,66.16,8.669,4.181,3.715,0.047,0.25,C,singapore,1800
P0194,TerraBook Laptop,laptop,TerraBook,south_korea,usa_west,ship,10295.0,1.42,lithium_ion_battery,0.772,steel,0.228,10.24,recycled_cardboard_box,0.0,none,1361.26,17.82,13.9,6.01,0.224,0.16,C,usa,10500
P0195,StoneWash Jeans,jeans,StoneWash,vietnam,europe_west,ship,9329.0,0.601,organic_cotton,0.849,cotton,0.151,2.01,none,1.3,none,40.65,4.216,1.007,3.005,0.086,0.0,B,germany,9500
P0196,LeafCell Smartphone,smartphone,LeafCell,china,southeast_asia,truck,3842.0,0.217,recycled_plastic_pet,0.668,lithium_ion_battery,0.332,3.21,cardboard_box,0.0,fsc,352.77,5.558,1.111,4.19,0.065,0.25,B,singapore,2500
P0197,StoneWash Jeans,jeans,StoneWash,mexico,india,ship,14831.0,0.804,organic_cotton,0.868,cotton,0.132,1.92,recycled_cardboard_box,1.2,none,45.82,4.445,1.339,2.245,0.181,0.16,C,india,15000
P0198,BlueRiver Jeans,jeans,BlueRiver,turkey,usa_west,ship,10074.0,0.565,organic_cotton,0.753,cotton,0.247,2.28,plastic_wrap,4.1,fair_trade,47.6,3.735,0.974,2.435,0.093,0.18,B,usa,11000
P0199,ZenPhone Smartphone,smartphone,ZenPhone,taiwan,southeast_asia,truck,3100.0,0.207,recycled_aluminum,0.673,aluminum,0.327,4.14,cardboard_box,1.6,none,1035.36,6.044,1.475,3.67,0.047,0.25,C,singapore,1900
P0200,CottonCloud T Shirt,t_shirt,CottonCloud,india,usa_east,ship,13026.0,0.217,organic_cotton,0.78,recycled_polyester,0.22,0.77,plastic_wrap,11.3,gots,27.86,3.146,0.414,2.539,0.046,0.18,C,usa,14000
P0201,SparkOne Smartphone,smartphone,SparkOne,china,europe_west,air,7223.0,0.16,lithium_ion_battery,0.827,plastic_pet,0.173,3.11,cardboard_box,0.0,gots,374.03,7.458,1.663,4.128,1.536,0.25,D,germany,8000
P0202,TerraMobile Smartphone,smartphone,TerraMobile,vietnam,india,ship,3266.0,0.15,silicon_chip,0.759,aluminum,0.241,5.27,plastic_wrap,4.4,bluesign,259.15,10.198,5.539,4.798,0.007,0.18,E,india,3200
P0203,StreetPulse Sneakers,sneakers,StreetPulse,vietnam,usa_east,ship,13407.0,0.822,rubber,0.715,polyester,0.285,2.54,recycled_cardboard_box,42.6,fsc,62.07,6.377,3.228,3.297,0.166,0.16,B,usa,13500
P0204,DenimForge Jeans,jeans,DenimForge,china,india,ship,2842.0,0.872,organic_cotton,0.794,cotton,0.206,2.56,cardboard_box,42.6,gots,101.01,5.388,1.485,3.787,0.05,0.25,D,india,3800
P0205,LeafCell Smartphone,smartphone,LeafCell,south_korea,usa_east,air,10295.0,0.142,glass,0.893,recycled_aluminum,0.107,3.61,recycled_cardboard_box,0.0,none,705.86,5.754,0.228,2.961,2.045,0.16,C,usa,12000
P0206,GreenLoop T Shirt,t_shirt,GreenLoop,india,india,rail,0.0,0.161,recycled_polyester,0.678,organic_cotton,0.322,0.7,cardboard_box,28.7,gots,17.52,2.869,0.41,2.49,0.004,0.25,B,india,800
P0207,CottonCloud T Shirt,t_shirt,CottonCloud,bangladesh,europe_west,air,7289.0,0.21,polyester,0.625,recycled_polyester,0.375,1.13,recycled_cardboard_box,31.4,none,17.59,5.57,0.958,2.501,1.915,0.16,F,germany,7600
P0208,ZenPhone Smartphone,smartphone,ZenPhone,south_korea,europe_west,ship,8517.0,0.249,glass,0.645,recycled_plastic_pet,0.355,4.87,recycled_cardboard_box,21.8,gots,547.52,4.351,0.343,3.54,0.033,0.16,B,germany,8800
P0209,GreenLoop T Shirt,t_shirt,GreenLoop,bangladesh,usa_east,ship,12894.0,0.202,polyester,0.841,organic_cotton,0.159,0.87,plastic_wrap,16.8,energy_star,25.2,3.607,0.986,2.339,0.044,0.18,D,usa,14500
P0210,StepWise Sneakers,sneakers,StepWise,india,europe_west,ship,6540.0,1.081,recycled_polyester,0.63,polyester,0.37,2.41,recycled_cardboard_box,26.4,energy_star,62.45,8.467,4.243,3.687,0.114,0.16,C,germany,7000
P0211,PulseTech Laptop,laptop,PulseTech,china,india,ship,2842.0,1.47,aluminum,0.715,plastic_pet,0.285,9.77,cardboard_box,34.2,bluesign,1219.47,22.282,13.218,8.257,0.084,0.25,C,india,3800
P0212,ClearSpring Water Bottle,water_bottle,ClearSpring,china,europe_west,air,7223.0,0.051,recycled_plastic_pet,1.0,,0.0,0.44,recycled_cardboard_box,26.2,energy_star,1.73,3.312,0.087,2.473,0.49,0.16,F,germany,8000
P0213,ClearSpring Water Bottle,water_bottle,ClearSpring,mexico,usa_west,truck,1840.0,0.037,recycled_plastic_pet,1.0,,0.0,0.41,plastic_wrap,21.6,none,4.95,1.626,0.063,1.58,0.01,0.18,B,usa,2200
P0214,AquaGo Water Bottle,water_bottle,AquaGo,china,usa_west,ship,11280.0,0.034,plastic_pet,1.0,,0.0,0.31,plastic_wrap,8.0,none,2.49,2.912,0.092,2.392,0.005,0.18,E,usa,10500
P0215,EcoSole Sneakers,sneakers,EcoSole,china,usa_east,ship,11280.0,0.721,leather,0.803,rubber,0.197,2.76,none,19.6,none,69.32,13.493,9.153,3.911,0.13,0.0,E,usa,12000
P0216,AquaGo Water Bottle,water_bottle,AquaGo,india,southeast_asia,ship,3624.0,0.034,recycled_plastic_pet,1.0,,0.0,0.25,plastic_wrap,7.9,none,1.88,2.338,0.058,2.175,0.002,0.18,D,singapore,3000
P0217,CottonCloud T Shirt,t_shirt,CottonCloud,vietnam,europe_west,ship,9329.0,0.226,recycled_polyester,0.705,cotton,0.295,1.05,cardboard_box,34.2,energy_star,35.88,3.322,0.618,2.478,0.032,0.25,C,germany,9500
P0218,StoneWash Jeans,jeans,StoneWash,vietnam,india,ship,3266.0,0.801,cotton,0.877,organic_cotton,0.123,1.77,plastic_wrap,3.5,fair_trade,110.74,4.692,1.633,2.874,0.038,0.18,C,india,3200
P0219,TerraMobile Smartphone,smartphone,TerraMobile,china,usa_west,ship,11280.0,0.219,lithium_ion_battery,0.651,aluminum,0.349,5.47,plastic_wrap,32.5,fair_trade,820.75,8.748,2.59,5.591,0.034,0.18,D,usa,10500
P0220,GreenLoop T Shirt,t_shirt,GreenLoop,turkey,southeast_asia,air,8078.0,0.176,organic_cotton,0.689,recycled_polyester,0.311,0.91,cardboard_box,4.1,none,38.25,3.785,0.358,1.873,1.584,0.25,E,singapore,7500
P0221,BlueRiver Jeans,jeans,BlueRiver,mexico,india,ship,14831.0,0.693,cotton,0.846,organic_cotton,0.154,2.1,none,20.3,fair_trade,54.39,3.596,1.402,2.324,0.156,0.0,B,india,15000
P0222,StepWise Sneakers,sneakers,StepWise,china,usa_east,ship,11280.0,1.067,recycled_polyester,0.885,polyester,0.115,2.03,cardboard_box,18.6,none,96.15,6.84,3.508,3.459,0.192,0.25,B,usa,12000
P0223,LeafCell Smartphone,smartphone,LeafCell,vietnam,europe_west,ship,9329.0,0.177,recycled_plastic_pet,0.685,lithium_ion_battery,0.315,5.77,cardboard_box,12.3,fsc,967.8,6.567,0.875,5.074,0.025,0.25,C,germany,9500
P0224,SparkOne Smartphone,smartphone,SparkOne,south_korea,europe_west,ship,8517.0,0.249,recycled_aluminum,0.802,glass,0.198,3.62,cardboard_box,59.3,bluesign,542.6,4.079,1.058,2.965,0.033,0.25,A,germany,8800
P0225,EcoSole Sneakers,sneakers,EcoSole,mexico,usa_east,ship,1840.0,0.681,recycled_polyester,0.657,leather,0.343,2.91,none,12.0,fair_trade,122.17,7.627,4.846,2.68,0.033,0.0,C,usa,3200
P0226,PulseTech Laptop,laptop,PulseTech,usa,southeast_asia,ship,14903.0,2.11,plastic_pet,0.856,recycled_plastic_pet,0.144,10.12,plastic_wrap,28.1,none,1626.14,10.375,5.393,5.147,0.396,0.18,A,singapore,12500
P0227,LeafCell Smartphone,smartphone,LeafCell,china,usa_east,ship,11280.0,0.182,silicon_chip,0.624,recycled_aluminum,0.376,3.24,recycled_cardboard_box,27.2,energy_star,1091.43,9.833,5.453,4.209,0.033,0.16,E,usa,12000
P0228,TerraMobile Smartphone,smartphone,TerraMobile,china,usa_east,air,11280.0,0.221,silicon_chip,0.865,lithium_ion_battery,0.135,6.49,cardboard_box,8.8,none,1112.89,18.098,8.96,6.224,3.182,0.25,F,usa,12000
P0229,GreenLoop T Shirt,t_shirt,GreenLoop,china,usa_east,ship,11280.0,0.227,polyester,0.65,recycled_polyester,0.35,0.88,recycled_cardboard_box,54.8,none,41.53,3.828,1.05,2.746,0.041,0.16,E,usa,12000
P0230,LeafCell Smartphone,smartphone,LeafCell,south_korea,india,ship,4915.0,0.163,recycled_aluminum,0.696,plastic_pet,0.304,5.8,cardboard_box,13.7,none,597.7,5.271,0.701,3.968,0.011,0.25,B,india,4700
P0231,StreetPulse Sneakers,sneakers,StreetPulse,china,southeast_asia,truck,3842.0,1.086,leather,0.702,recycled_polyester,0.298,2.36,recycled_cardboard_box,29.0,energy_star,117.07,16.686,12.406,3.663,0.326,0.16,F,singapore,2500
P0232,UrbanBasic T Shirt,t_shirt,UrbanBasic,vietnam,usa_west,ship,13407.0,0.222,cotton,0.608,polyester,0.392,0.71,cardboard_box,10.9,none,17.93,3.158,0.762,2.29,0.04,0.25,C,usa,12000
